Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Fitur tambahan,Tipe Penjual,Lokasi,Harga,Nama Bursa Mobil
Nissan,1.6 Sedan,Sentra,1990,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,Jok kulit,Individu,"Kembangan, Jakarta Barat, Jakarta D.K.I.",Rp 15.000.000,
Daihatsu,1.2 R,Sigra,2017,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Sensor Parkir']",Individu,"Kotagede, Yogyakarta Kota, Yogyakarta D.I.",Rp 112.000.000,
Geely,1.5,MK,2012,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.000 - 1.500 cc,,Individu,"Prajurit Kulon, Mojokerto Kota, Jawa Timur",Rp 55.000.000,
Honda,Satya E,Brio,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Hatchback,>1.000 - 1.500 cc,"['Airbag', 'Jok kulit']",Individu,"Cicalengka, Bandung Kab., Jawa Barat",Rp 100.000.000,
Daihatsu,D,Sirion,2014,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window', 'Sensor Parkir']",Individu,"Serpong Utara, Tangerang Selatan Kota, Banten",Rp 89.000.000,
Mercedes-Benz,C180,C-Class,1995,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.500 - 2.000 cc,"['Airbag', 'Jok kulit']",,"Pondok Gede, Bekasi Kota, Jawa Barat",Rp 37.500.000,Bursa Mobil POSH Bekasi
Mitsubishi,Pick Up,T120SS,2013,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,,Individu,"Purwokerto Selatan, Banyumas Kab., Jawa Tengah",Rp 70.000.000,
Daihatsu,Lain-lain,Classy,1991,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Classic Car,>1.000 - 1.500 cc,Electric Window,Individu,"Lubuk Begalung, Padang Kota, Sumatra Barat",Rp 19.000.000,
BMW,318i E30 1.8,Serie 3,1991,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,"['Electric Window', 'Jok kulit']",Individu,"Pondok Gede, Bekasi Kota, Jawa Barat",Rp 40.000.000,
Suzuki,Lain-lain,Futura,2002,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Minibus,>1.000 - 1.500 cc,,Individu,"Medan Johor, Medan Kota, Sumatra Utara",Rp 44.000.000,
Mitsubishi,Lain-lain,Lain-lain,2015,40.000-45.000 km,Bensin,Hitam,Manual,,Pick-up,>1.000 - 1.500 cc,,Individu,"Pangkalan Lada, Kotawaringin Barat Kab., Kalimantan Tengah",Rp 75.000.000,
Toyota,SGX,Kijang,1997,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.500 - 2.000 cc,Jok kulit,Individu,"Banda Raya, Banda Aceh Kota, Aceh D.I.",Rp 65.000.000,
Toyota,G Luxury,Avanza,2014,40.000-45.000 km,Bensin,Hitam,Manual,,Minibus,>1.000 - 1.500 cc,Airbag,Individu,"Aur Birugo Tigo Baleh, Bukittinggi Kota, Sumatra Barat",Rp 142.500.000,
Suzuki,Lain-lain,Wagon R,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Compact & City Car,<1.000 cc,Airbag,Individu,"Mulyorejo, Surabaya Kota, Jawa Timur",Rp 87.500.000,
Honda,1.6,Accord,<1986,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,"['Bluetooth Audio', 'Jok kulit']",Individu,"Kemang, Bogor Kab., Jawa Barat",Rp 17.000.000,
Toyota,1.3,Corolla,1990,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,,Individu,"Jagakarsa, Jakarta Selatan, Jakarta D.K.I.",Rp 23.000.000,
Daihatsu,TX,Terios,2015,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.500 - 2.000 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Setu, Bekasi Kab., Jawa Barat",Rp 145.000.000,
Suzuki,Lain-lain,Carry Pick-up,2015,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Pick-up,>1.500 - 2.000 cc,,Individu,"Wawo, Bima Kab., Nusa Tenggara Barat",Rp 82.000.000,
Daihatsu,Lain-lain,Ayla,2018,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,"['Electric Window', 'Jok kulit', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Kalidoni, Palembang Kota, Sumatra Selatan",Rp 105.000.000,
Toyota,G,Etios,2013,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",Rp 92.000.000,
Chevrolet,Lain-lain,Cruze,2010,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,Sensor Parkir,Individu,"Wiyung, Surabaya Kota, Jawa Timur",Rp 105.000.000,
Toyota,G,Rush,2015,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),SUV,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Sensor Parkir']",Individu,"Driyorejo, Gresik Kab., Jawa Timur",Rp 165.000.000,
Toyota,G,Innova,2009,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),MPV,>2.000 - 3.000 cc,"['Airbag', 'Electric Window', 'Sensor Parkir']",Individu,"Tebet, Jakarta Selatan, Jakarta D.K.I.",Rp 122.000.000,
